2018-07-03
800,ack_size_sum,nack_size_sum,data_size_sum,ack_size_count,nack_size_count,data_size_count,time
1,null,null,null,null,null,null,null,
2,null,null,null,null,null,null,null,
4,null,null,null,null,null,null,null,
6,null,null,null,null,null,null,null,
